continent,total_cases,total_deaths
1,2,0
2,2,0
3,3,0
4,10,0
5,10,0
6,11,0
7,11,0
8,12,0
9,12,0
10,15,0
11,19,0
12,24,0
13,27,0
14,29,0
15,32,0
16,43,0
17,61,0
18,74,0
19,81,1
20,97,4
21,107,6
22,115,7
23,123,8
24,132,9
25,139,10
26,157,10
27,183,11
28,194,14
29,210,15
30,264,18
31,268,19
32,275,20
33,300,24
34,330,27
35,354,28
36,397,28
37,441,29
38,465,31
39,493,31
40,520,32
41,564,33
42,598,34
43,609,37
44,703,43
45,807,44
46,866,46
47,950,50
48,1014,53
49,1053,55
50,1110,59
51,1167,62
52,1229,66
53,1470,71
54,1594,76
55,1681,82
56,1802,86
57,1886,91
58,2081,102
59,2266,106
60,2437,114
61,2556,118
62,2831,122
63,2964,128
64,3148,142
65,3372,152
66,3577,164
67,3826,165
68,4088,169
69,4263,174
70,4481,189
71,4919,199
72,5187,215
73,5579,230
74,5915,240
75,6263,250
76,6660,261
77,7136,274
78,7768,280
79,8387,293
80,8731,300
81,9592,310
82,9982,313
83,10531,343
84,10991,376
85,11638,400
86,12245,415
87,12728,427
88,13358,454
89,13643,465
90,13949,475
91,14644,487
92,15281,512
93,16165,533
94,16929,559
95,17842,585
96,18459,611
97,19073,632
98,19883,659
99,20685,679
100,21499,697
101,22476,715
102,23512,740
103,24388,773
104,25493,820
105,26389,846
106,27487,876
107,28503,913
108,29423,934
109,30676,970
110,31524,1014
111,32125,1071
112,33219,1123
113,34227,1201
114,35528,1271
115,36818,1320
116,38071,1378
117,39297,1434
118,40509,1476
119,41545,1530
120,42984,1577
121,44113,1638
122,45565,1702
123,47200,1754
124,48187,1807
125,49250,1866
126,50867,1898
127,52218,1942
128,54156,1984
129,56102,2049
130,58138,2106
131,59582,2151
132,60991,2218
133,62357,2273
134,64135,2328
135,65252,2407
136,66456,2473
137,68281,2535
138,69429,2583
139,71181,2647
140,72327,2720
141,73534,2808
142,75234,2894
143,76789,2977
144,78793,3064
145,80153,3153
146,81846,3228
147,83361,3320
148,85141,3385
149,86423,3465
150,87891,3524
151,89055,3587
152,89999,3640
153,91635,3712
154,93328,3761
155,95071,3827
156,96459,3884
157,97950,3939
158,99146,4003
159,100344,4058
160,101223,4123
161,103019,4172
162,105050,4233
163,106065,4305
164,107435,4366
165,108427,4442
166,109149,4509
167,110148,4578
168,110999,4664
169,112094,4726
170,113129,4791
171,114409,4846
172,115354,4938
173,115968,4966
174,116598,5027
175,117267,5101
176,117928,5203
177,118781,5288
178,119580,5343
179,120241,5398
180,120769,5398
181,121604,7054
182,122308,7097
183,123345,7146
184,124205,7193
185,125172,7250
186,125982,7297
187,126791,7344
188,127619,7394
189,128286,7447
190,128872,7478
191,129419,7511
192,130051,7550
193,130470,7586
194,130676,7617
195,130986,7654
196,131453,7693
197,131990,7731
198,132618,7765
199,133222,7800
200,133592,7828
